uniprot	PDB
Q96RG2	1LL8
P53602	3D4J
Q16644	3FHR
P01137	1KLA
Q15717	3HI9
P05162	1HLC
P35790	2I7Q
P45984	1PMN
Q8TBE9	2W4M
P56817	1FKN
P50336	3NKS
Q96EB6	4ZZH
P42679	1JWO
Q12931	4Z1F
Q5XXA6	6BGI
Q99895	4H4F
P60953	1CEE
P55899	1EXU
Q05639	4C0S
P32929	2NMP
O95822	4F0X
P29353	1MIL
P28482	1TVO
Q06418	1RHF
Q9UBT6	1T94
P04156	1FKC
Q13107	2Y6E
O00329	5DXU
Q14995	2V0V
Q9ULK4	6H02
P06276	1P0I
P15559	1D4A
Q12974	1ZCL
P13051	1EMH
P23677	1W2C
P14384	1UWY
P37088	6WTH
P04637	1GZH
P10826	1EXA
P78325	4DD8
Q9NYL2	5X5O
P37268	3ASX
P49354	1JCQ
Q9NR71	4WGK
Q9UNI1	1HAX
Q15172	6NTS
Q8TDX7	2WQM
P11586	1DIA
P56470	1X50
Q96RR4	2ZV2
Q9Y271	6RZ4
Q15109	2E5E
Q8IWU9	4V06
P21741	1MKC
Q9UJ71	3P7F
Q08881	1LUI
P10828	1N46
P09871	1NZI
P27695	1E9N
P27708	4BY3
Q8TEK3	1NW3
P49588	4XEM
O95147	2WGP
O75419	5DGO
Q9Y2T3	2UZ9
Q08209	1M63
P22748	1ZNC
P53671	4TPT
P54760	2BBA
P00325	1DEH
Q13951	1e50
O75173	4WK7
Q92918	6NFY
Q9H4A3	2LRU
P36873	1IT6
Q9Y6M4	4G16
P55210	1I4O
Q04759	1XJD
P04049	1FAQ
P35869	5NJ8
P35367	7DFL
P15169	2NSM
P11274	5N6R
P11308	5YBC
Q14004	4UN0
P52895	1IHI
P24593	1H59
P35968	1Y6A
P22888	7FII
P45985	3ALN
P42261	1MQD
P05187	1EW2
P41229	5FWJ
Q02779	2RF0
O00444	2N19
P17301	1V7P
O60704	3AP1
Q96NX5	2JAM
P16234	7LBF
P04271	1CFP
P78352	1IU0
Q7Z4H4	6UVA
O75582	3KN5
P16152	1WMA
O75365	1R6H
Q6ZMT4	3KV5
Q9UBR2	1EF7
P24592	1RMJ
P01111	1CLU
Q92820	1L9X
P52209	2JKV
P22303	1MAA
Q9HBH9	2AC5
P14867	6D6T
P40925	7RM9
Q07889	1DBH
O60551	6PAU
P49789	1FHI
O43570	1JCZ
P29466	1IBC
O00222	6E5V
P04062	2WKL
P42574	1GFW
P10586	1LAR
P40818	2A9U
P09960	1HS6
P00338	1I10
P48549	1N9P
Q13231	1HKK
O15075	1MG4
O60256	2JI4
O15492	2BT2
P46098	4PIR
P50750	3BLH
Q14376	1EK5
P20839	7RER
Q9UBE0	1Y8Q
O95747	2V3S
P06280	1R46
P17252	4DNL
P00740	1CFH
P35372	4DKL
O43683	2LAH
Q14573	6DQJ
P12955	5M4G
Q02643	2XDG
P39900	1JIZ
Q96PN6	4CLF
P24928	5IY6
P49840	7B6F
P19793	1FBY
P36544	7EKI
P07948	1W1F
P42345	1FAP
P06858	6OAU
Q12772	1UKL
Q9UL51	2MPF
Q96SB4	3BEG
O75936	3MS5
P43403	1M61
Q9Y2H1	5XQZ
Q9BY41	1T64
O14757	1IA8
P35222	1G3J
Q9NZ45	2QD0
P01130	1HJ7
P00403	5Z62
Q08345	3ZOS
P46059	7PMW
Q9UM73	2XB7
Q9P2J5	6KID
O60674	2B7A
P49841	1GNG
O60760	2VCQ
Q9C000	1PN5
Q04828	1MRQ
P78417	1EEM
P60842	2G9N
P28074	1IRU
P42262	1FTJ
P41143	4RWA
P31689	2LO1
P54136	4R3Z
Q96L34	5ES1
P30556	6DO1
O00483	5Z62
Q99685	3JW8
Q92843	1O0L
P08686	4Y8W
P56524	2VQJ
P32248	6QZH
P04278	1F5F
Q01538	1PXE
Q99418	1FGY
O43614	4S0V
Q9BVS4	6FDM
Q14832	4XAR
O75909	2I53
P22894	1I73
Q13554	6XDL
P08648	3VI3
P11717	6V02
P17752	5J6D
Q16775	1QH3
P11362	1EVT
Q13535	5YZ0
P05089	1WVA
Q99814	1P97
Q92769	4LXZ
Q96RI1	1OSH
P07477	1TRN
P34972	5ZTY
Q8WU08	4FR4
Q9ULW8	6CE1
P13726	1DAN
P25963	1IKN
P20248	1E9H
P24723	2FK9
Q16512	1CXZ
Q96LD8	1XT9
Q8TDU6	7BW0
Q13564	1YOV
P12319	1F2Q
P19634	2BEC
P16389	1QDV
P29320	6IN0
Q9Y253	3JAA
P17612	1FMO
Q9Y233	2O8H
Q8WTT0	3WBP
O43463	3MTS
Q14790	1F9E
Q13085	2YL2
P08581	1SSL
P43166	3MDZ
O60341	2DW4
P30419	3IU1
P51532	2GRC
Q06609	1N0W
P78540	1PQ3
P60891	2H06
P14780	1L6J
Q12888	1GZH
P42330	1MRQ
P48058	3EN3
P54577	1N3L
Q9Y337	2PSX
P07305	6HQ1
O14746	5UGW
O14936	1KGD
P16442	1LZ0
P04798	4I8V
Q53H47	3F2K
P22694	1Q24
P00488	1EVU
P53355	1WVW
Q92793	1F81
Q96B36	5WBU
Q9Y5Y6	1EAW
P07711	1ICF
P29274	3EML
O60259	5MS3
P19320	1IJ9
P50570	2YS1
P49802	7EWP
O94925	3CZD
P42575	1PYO
P14061	6CGC
P29350	1GWZ
Q15418	2Z7Q
O95363	3CMQ
Q99816	1KPP
O15305	2AMY
P26639	1WWT
Q9UNQ0	5NJ3
Q9NZ42	5A63
P27815	2QYK
Q99986	2KTY
P08243	6GQ3
Q13451	3O5D
Q9Y5S2	3QFV
P14550	2ALR
P55157	6I7S
P15374	1UCH
P54829	6H8S
P18858	6P09
P09382	1GZW
P00352	4WB9
P11511	3EQM
O43781	5Y86
P14324	1YQ7
P09488	1GTU
Q12884	1Z68
Q9UKM7	1FMI
Q13464	1S1C
P30939	7EXD
O60307	1V9V
Q09472	1L3E
P21980	3LY6
O60894	3N7P
P41587	2X57
P43003	7NPW
P27361	1GOL
P01112	1CRP
P40394	1D1S
Q8NER1	7LQY
P43354	1OVL
Q53EL6	2KZT
Q9H1D0	6BO8
O95835	5B5W
P61769	1CE6
P52564	3VN9
P52333	3PJC
P19971	2WK5
P31213	7BW1
Q13526	1F8A
Q16665	1H2M
P19174	2FCI
Q05823	4G8K
P04183	1W4R
O15264	4EYJ
O00182	2EAK
O96017	1GXC
Q9HC62	1TGZ
P13631	1EXA
Q14534	6C6N
Q16873	2PNO
Q8NCC3	4X90
Q6P179	4e36
O96013	2BVA
Q9H2X9	7D8Z
Q9UPY5	7P9U
P35610	6L47
P22736	1CIT
P25929	5ZBH
P35558	4GNO
O60563	3MI9
Q15078	1H4L
P67775	2IE4
P31645	6DZV
P06213	1I44
P53779	1JNK
P42226	4Y5U
P08246	1H1B
P09619	3MJG
Q13627	2VX3
Q05397	1K04
Q13133	3IPQ
P25098	3CIK
P07814	1FYJ
Q12923	1D5G
P34998	2L27
P47897	4R3Z
O95453	2A1R
P21860	3KEX
P23284	1CYN
P05413	1G5W
Q99728	1JM7
O00625	1J1L
P15309	1CVI
P43250	3NYN
P29475	1QAU
Q9HAS3	6KSW
Q96BR1	6EDX
P10275	1E3G
P68106	1FKK
P30542	5UEN
O15197	7K7J
P43235	1MEM
O95749	2Q80
P22607	1RY7
P39748	1UL1
P00747	1CEA
Q9Y3Q0	3FEC
P28715	6TUS
Q9UBN7	3GV4
Q9UNA0	2RJQ
Q13285	2FF0
O00459	3O5Z
P11926	2ON3
P11766	1M6H
P07306	1DV8
P11802	3G33
P04054	3ELO
P28329	2FY2
P42336	2ENQ
P43005	6X3E
O75116	2F2U
P55263	4O1L
P30411	7F2O
Q92997	5SUZ
P25942	3QD6
Q9BYF1	1R42
Q9NP87	2DUN
P03951	1XX9
P41222	2WWP
P08754	2IHB
P38936	6P8H
P16455	1EH6
Q16584	5K26
O15379	4A69
P06732	1I0E
Q9UHC9	7N4X
P24385	2W96
O75747	2WWE
P84022	1DEV
Q9NZ08	2YD0
P21453	7EVY
P09651	1HA1
P53582	2B3H
P15291	6FWT
O94759	6MIX
P19525	1QU6
P42680	2LUL
P04085	3MJK
P11086	1HNN
Q99759	2JRH
Q16548	2VM6
Q9NWT8	6RW4
O75795	7CJX
Q9Y3C6	1XWN
Q9Y5Y4	6D26
O14641	1L6O
Q00535	4AU8
P20393	3N00
O15229	5X68
O14965	1MQ4
P05129	2e73
Q9UIQ6	4P8Q
P41279	4Y83
P08138	1SG1
O43172	6AH0
Q9P2K8	6N3L
P08151	2GLI
Q9Y3Q4	2MNG
Q15303	2R4B
Q15382	6BCU
O75608	1FJ2
Q07912	3EQP
P80188	1DFV
P49407	1JSY
Q59H18	4YFF
O75899	4F11
P51531	4QY4
P22692	1WQJ
Q9UF33	5ZRY
P15514	2RNL
P21554	5TGZ
Q12913	2CFV
P17342	1YK0
P27037	3Q4T
P05091	1CW3
P23946	1NN6
P78348	7CFS
P31941	2M65
P52732	1II6
P62942	1D6O
P53985	6LYY
Q16348	7PMY
Q16719	2HZP
P48775	4PW8
P62937	1CWA
Q9ULC6	5HP5
Q9UJM8	2NZL
O15118	3JD8
Q8WUI4	3C0Y
P14555	1DB4
P35228	1M8D
Q9UIF8	2E7O
P04439	2XPG
P50579	5CLS
P17706	1L8K
P53396	3MWD
Q9BYP7	5O1V
P00918	1CAH
P01584	1I1B
O14640	1L6O
Q9H7Z6	1WGS
O15392	1e31
Q12809	1UJL
P16083	5LBT
P35813	3FXJ
P43490	2E5B
P00395	5Z62
Q9Y239	2B1W
Q02127	1D3G
Q13976	1ZXA
Q86XE5	3S5N
P15692	1CZ8
Q9UK17	2I2R
P50591	1D0G
P30305	1CWR
Q16773	3FVS
Q13224	4PE5
P07384	2ARY
P13497	3EDG
Q05193	1DYN
P41235	3CBB
Q86TI2	6EOQ
P62136	1FJM
Q92499	4XW3
P56192	2DJV
Q16832	6FER
Q9UQM7	1HKX
Q9ULH1	2ED1
P27144	2AR7
O15496	1LE6
O00214	2YRO
P01730	1CDH
Q9BRS2	4OTP
Q92831	1CM0
Q8N568	5IP4
P23945	1XWD
Q9NZK7	5WZM
P00797	1HRN
P41594	6N4X
P50613	1UA2
P10827	1NAV
P78527	5LUQ
P20231,Q15661	2ZEB
P0DJD7	1PSN
P0DUB6,P0DTE7,P0DTE8	1MFV
V9GZ37	2LMG
P0DMV8,P0DMV9	1HJO
Q04637	1UG3
Q15149	3PDY
P00451	2R7E
P0DP24,P0DP25,P0DP23	1CDL
P21583	1EXZ
P01133	1IVO
P98161	6A70
A0A0B4J268	4OZI
P42858	6YEJ
Q504U8	1IVO
C9JQD8	3EML
O43739	1U2B
